crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	36.719002	34516	0.000000
281474976710655.000000	36.054363	34517	0.000000
281474976710655.000000	32.528114	34518	0.000000
281474976710655.000000	40.932961	34519	0.000000
281474976710655.000000	38.443909	34520	0.000000
281474976710655.000000	33.005001	34521	0.000000
281474976710655.000000	30.442064	34522	0.000000
281474976710655.000000	36.107037	34523	0.000000
281474976710655.000000	33.012691	34524	0.000000
281474976710655.000000	30.486450	34525	0.000000
281474976710655.000000	35.753155	34526	0.000000
281474976710655.000000	29.031412	34527	0.000000
281474976710655.000000	38.656353	34528	0.000000
281474976710655.000000	35.047928	34529	0.000000
281474976710655.000000	37.049988	34530	0.000000
281474976710655.000000	35.203194	34531	0.000000
281474976710655.000000	37.403984	34532	0.000000
281474976710655.000000	28.893923	34533	0.000000
281474976710655.000000	33.581940	34534	0.000000
281474976710655.000000	30.184063	34535	0.000000
281474976710655.000000	28.584209	34536	0.000000
281474976710655.000000	29.477415	34537	0.000000
281474976710655.000000	35.654816	34538	0.000000
281474976710655.000000	32.441837	34539	0.000000
281474976710655.000000	34.285477	34540	0.000000
281474976710655.000000	35.437302	34541	0.000000
281474976710655.000000	29.453112	34542	0.000000
281474976710655.000000	30.301413	34543	0.000000
281474976710655.000000	34.627525	34544	0.000000
281474976710655.000000	35.207638	34545	0.000000
281474976710655.000000	34.782230	34546	0.000000
281474976710655.000000	28.344656	34547	0.000000
281474976710655.000000	35.037941	34548	0.000000
281474976710655.000000	29.914333	34549	0.000000
281474976710655.000000	29.426949	34550	0.000000
281474976710655.000000	37.647926	34551	0.000000
281474976710655.000000	33.762215	34552	0.000000
281474976710655.000000	33.220398	34553	0.000000
281474976710655.000000	33.763515	34554	0.000000
281474976710655.000000	36.235180	34555	0.000000
281474976710655.000000	35.253059	34556	0.000000
281474976710655.000000	32.653965	34557	0.000000
281474976710655.000000	36.471302	34558	0.000000
281474976710655.000000	32.030842	34559	0.000000
281474976710655.000000	31.570183	34560	0.000000
281474976710655.000000	33.922180	34561	0.000000
281474976710655.000000	34.429886	34562	0.000000
281474976710655.000000	34.494362	34563	0.000000
281474976710655.000000	35.613338	34564	0.000000
281474976710655.000000	36.479710	34565	0.000000
281474976710655.000000	27.764874	34566	0.000000
281474976710655.000000	35.986176	34567	0.000000
281474976710655.000000	34.265358	34568	0.000000
281474976710655.000000	38.262398	34569	0.000000
281474976710655.000000	33.795700	34570	0.000000
281474976710655.000000	37.199860	34571	0.000000
281474976710655.000000	28.563921	34572	0.000000
281474976710655.000000	36.373753	34573	0.000000
281474976710655.000000	33.250793	34574	0.000000
281474976710655.000000	33.819229	34575	0.000000
281474976710655.000000	34.826118	34576	0.000000
281474976710655.000000	30.919474	34577	0.000000
281474976710655.000000	34.683346	34578	0.000000
